No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,market_cap_int
472,NTRS,Northern Trust Corporation,27.26B,144.12,0.08%,7.93B,27260000000
473,TPR,"Tapestry, Inc.",27.26B,133.18,3.62%,7.21B,27260000000
474,FCNCA,"First Citizens BancShares, Inc.",27.24B,2189.5,0.32%,8.90B,27240000000
475,AEE,Ameren Corporation,27.21B,100.61,1.01%,8.64B,27210000000
476,ALAB,"Astera Labs, Inc.",27.20B,161.01,-3.65%,723.04M,27200000000
477,AFRM,"Affirm Holdings, Inc.",27.18B,82.35,1.92%,3.46B,27180000000
478,PHG,Koninklijke Philips N.V.,27.18B,28.7,2.43%,20.86B,27180000000
479,ATO,Atmos Energy Corporation,27.10B,167.54,0.40%,4.70B,27100000000
480,DTE,DTE Energy Company,27.01B,130.04,0.96%,14.82B,27010000000
481,MKL,Markel Group Inc.,26.90B,2132.83,-0.72%,16.21B,26900000000
482,SHG,"Shinhan Financial Group Co., Ltd.",26.80B,55.44,-0.40%,10.72B,26800000000
483,BIIB,Biogen Inc.,26.79B,182.61,4.57%,10.07B,26790000000
484,CFG,"Citizens Financial Group, Inc.",26.69B,62.14,1.79%,7.44B,26690000000
485,DLTR,"Dollar Tree, Inc.",26.60B,133.78,4.05%,18.96B,26600000000
486,WRB,W. R. Berkley Corporation,26.60B,69.99,-1.02%,14.65B,26600000000
487,TSCO,Tractor Supply Company,26.58B,50.31,0.96%,15.40B,26580000000
488,AXIA,AXIA Energia SA,26.42B,9.59,2.35%,8.00B,26420000000
489,TPG,TPG Inc.,26.34B,69.66,2.97%,4.26B,26340000000
490,LEN,Lennar Corporation,26.27B,106.36,0.91%,34.19B,26270000000
491,NMR,"Nomura Holdings, Inc.",26.20B,8.81,1.50%,13.47B,26200000000
492,TW,Tradeweb Markets Inc.,26.18B,110.72,0.20%,1.99B,26180000000
493,CBOE,"Cboe Global Markets, Inc.",26.17B,250.09,-0.80%,4.62B,26170000000
494,STM,STMicroelectronics N.V.,25.99B,29.41,7.30%,11.79B,25990000000
495,AVB,"AvalonBay Communities, Inc.",25.99B,183.74,1.92%,3.07B,25990000000
496,EFX,Equifax Inc.,25.98B,212.25,-3.87%,5.94B,25980000000
497,HAL,Halliburton Company,25.95B,30.83,-3.41%,22.14B,25950000000
498,FE,FirstEnergy Corp.,25.90B,44.84,0.13%,14.28B,25900000000
499,BR,"Broadridge Financial Solutions, Inc.",25.88B,221.7,-0.50%,7.06B,25880000000
500,PPL,PPL Corporation,25.81B,34.89,0.32%,8.98B,25810000000
